sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_4,_corrupt_3,_corrupt_0,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,mvadapter,spotex,syncmvd,paint3d,TEXGen,goatex,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,spotex,goatex,syncmvd,TEXGen,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,TEXGen,spotex,mvadapter,goatex,paint3d,syncmvd,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,23
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,syncmvd,spotex,paint3d,mvadapter,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,24
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,mvadapter,syncmvd,TEXGen,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_4,_corrupt_2,_corrupt_1,_corrupt_3,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,1
06_ce195c7adddb44d2bf963c526756362a,main,mvadapter,spotex,goatex,TEXGen,syncmvd,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,goatex,syncmvd,TEXGen,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,4
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,TEXGen,paint3d,goatex,spotex,mvadapter,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,5
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,mvadapter,spotex,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_4,_corrupt_0,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,7
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,TEXGen,paint3d,goatex,spotex,mvadapter,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,8
45_1a6d42ef69294498937aab039ececb00,main,spotex,mvadapter,TEXGen,goatex,syncmvd,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,10
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,syncmvd,mvadapter,TEXGen,goatex,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,paint3d,syncmvd,TEXGen,goatex,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,12
58_1d7b005b0cf241d9890739a549769c86,main,goatex,mvadapter,spotex,TEXGen,paint3d,syncmvd,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,syncmvd,goatex,TEXGen,spotex,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,14
48_d53b232eab0048b48835c2caef28f44e,main,TEXGen,syncmvd,spotex,goatex,mvadapter,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,15
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,paint3d,mvadapter,TEXGen,goatex,syncmvd,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,mvadapter,syncmvd,TEXGen,goatex,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,goatex,syncmvd,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,18
02_16ee83e509e745998f229da44a8387e8,main,TEXGen,goatex,spotex,syncmvd,mvadapter,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_3,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,mvadapter,spotex,goatex,syncmvd,paint3d,TEXGen,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,goatex,spotex,TEXGen,syncmvd,paint3d,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,goatex,spotex,mvadapter,TEXGen,paint3d,syncmvd,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,23
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,syncmvd,paint3d,mvadapter,spotex,A2X2T1K2R6K6W3,H_0001,3I3WADAZ98088VXXXR6YEOMHEJSO5D,24
01_d85c3093011d4e03a0df7a4049b13816,main,mvadapter,spotex,goatex,TEXGen,paint3d,syncmvd,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,paint3d,goatex,syncmvd,mvadapter,TEXGen,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,TEXGen,goatex,syncmvd,mvadapter,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,4
02_16ee83e509e745998f229da44a8387e8,main,spotex,mvadapter,paint3d,goatex,TEXGen,syncmvd,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,5
58_1d7b005b0cf241d9890739a549769c86,main,spotex,TEXGen,syncmvd,goatex,paint3d,mvadapter,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,7
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,paint3d,goatex,syncmvd,TEXGen,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,8
