sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,spotex,mvadapter,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,24
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,1
06_ce195c7adddb44d2bf963c526756362a,main,goatex,mvadapter,TEXGen,spotex,syncmvd,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,syncmvd,TEXGen,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,4
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,TEXGen,paint3d,mvadapter,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,5
58_1d7b005b0cf241d9890739a549769c86,main,syncmvd,goatex,TEXGen,paint3d,mvadapter,spotex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,7
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,mvadapter,TEXGen,syncmvd,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,8
